0,0
0.0000444,10001110
0.0000672,10011100
0.00009,10101010
0.0001128,10110111
0.0001356,11000011
0.0001584,11001101
0.0001812,11010110
0.000204,11011101
0.0002268,11100010
0.0002496,11100101
0.0002724,11100110
0.0002952,11100101
0.000318,11100010
0.0003408,11011100
0.0003636,11010101
0.0003864,11001100
0.0004092,11000010
0.000432,10110110
0.0004548,10101001
0.0004776,10011011
0.0005004,10001101
0.0005232,1111110
0.000546,1110000
0.0005688,1100010
0.0005916,1010100
0.0006144,1000111
0.0006372,111011
0.00066,110001
0.0006828,101001
0.0007056,100010
0.0007284,11101
0.0007512,11010
0.000774,11001
0.0007968,11010
0.0008196,11110
0.0008424,100011
0.0008652,101010
0.000888,110011
0.0009108,111110
0.0009336,1001010
0.0009564,1010111
0.0009792,1100101
0.001002,1110011
0.001025,10000010
0.001048,10010000
0.00107,10011110
0.001093,10101100
0.001116,10111001
0.001139,11000100
0.001162,11001110
0.001184,11010111
0.001207,11011110
0.00123,11100010
0.001253,11100101
0.001276,11100110
0.001298,11100100
0.001321,11100001
0.001344,11011011
0.001367,11010100
0.00139,11001011
0.001412,11000000
0.001435,10110100
0.001458,10100111
0.001481,10011001
0.001504,10001011
0.001526,1111100
0.001549,1101110
0.001572,1100000
0.001595,1010010
0.001618,1000101
0.00164,111010
0.001663,110000
0.001686,101000
0.001709,100001
0.001732,11100
0.001754,11010
0.001777,11001
0.0018,11011
0.001823,11110
0.001846,100100
0.001868,101011
0.001891,110101
0.001914,111111
0.001937,1001011
0.00196,1011001
0.001982,1100111
0.002005,1110101
0.002028,10000100
0.002051,10010010
0.002074,10100000
0.002096,10101110
0.002119,10111010
0.002142,11000110
0.002165,11010000
0.002188,11011000
0.00221,11011110
0.002233,11100011
0.002256,11100101
0.002279,11100110
0.002302,11100100
0.002324,11100000
0.002347,11011011
0.00237,11010011
0.002393,11001010
0.002416,10111111
0.002438,10110011
0.002461,10100101
0.002484,10010111
0.002507,10001001
0.00253,1111010
0.002552,1101100
0.002575,1011110
0.002598,1010000
0.002621,1000100
0.002644,111000
0.002666,101111
0.002689,100111
0.002712,100000
0.002735,11100
0.002758,11001
0.002803,11011
0.002826,11111
0.002849,100101
0.002872,101101
0.002894,110110
0.002917,1000001
0.00294,1001101
0.002963,1011011
0.002986,1101001
0.003008,1110111
0.003031,10000110
0.003054,10010100
0.003077,10100010
0.0031,10110000
0.003122,10111100
0.003145,11000111
0.003168,11010001
0.003191,11011001
0.003214,11011111
0.003236,11100011
0.003259,11100110
0.003305,11100100
0.003328,11100000
0.00335,11011010
0.003373,11010010
0.003396,11001000
0.003419,10111101
0.003442,10110001
0.003464,10100100
0.003487,10010101
0.00351,10000111
0.003533,1111000
0.003556,1101010
